"date","sales","price","mortgage_rate","income","unrate","permit","months_supply","construction_cost","housing_starts","under_construction","log_sales","log_price","log_income","log_permit","log_construction_cost","log_starts","log_under_construction","trend","trend2","month"
2009-02-01,372,209700,5.13,12241.9,8.3,558,10.5,191.2,582,756,5.91889385427315,12.25343321689,9.41261977277775,6.32435896238131,5.2533200006173,6.36647044773144,6.62804137617953,110,12100,"02"
2009-03-01,339,205100,5.0025,12242.7,8.7,513,11,190.2,505,717,5.82600010738045,12.2312529440605,9.4126851199756,6.24027584517077,5.24807615011129,6.22455842927536,6.57507584059962,111,12321,"03"
2009-04-01,337,219200,4.81,12320,9,521,10.7,188.1,478,677,5.82008293035236,12.297739834056,9.41897923708751,6.25575004175337,5.23697373630699,6.16961073249146,6.51767127291227,112,12544,"04"
2009-05-01,376,222300,4.8575,12500.1,9.4,556,9.3,186.9,540,650,5.9295891433899,12.3117830999523,9.43349192325839,6.32076829425058,5.23057371446152,6.29156913955832,6.47697236288968,113,12769,"05"
2009-06-01,393,214700,5.42,12273.2,9.5,601,8.5,187.1,585,627,5.97380961186926,12.2769969838669,9.4151733023989,6.39859493453521,5.23164323328004,6.37161184723186,6.44094654063292,114,12996,"06"
2009-07-01,411,214200,5.222,12218.7,9.5,595,7.9,187.6,594,611,6.01859321449623,12.2746654369958,9.41072284408779,6.38856140554563,5.23431203657212,6.38687931936265,6.4150969591716,115,13225,"07"
2009-08-01,418,207100,5.1925,12194.8,9.6,616,7.5,188.1,586,588,6.03548143252476,12.2409570473837,9.40876491035153,6.42324696353352,5.23697373630699,6.37331978957701,6.37672694789863,116,13456,"08"
2009-09-01,386,216600,5.0575,12230.6,9.8,609,7.8,189.3,585,576,5.95583736946483,12.285807613549,9.41169628716712,6.4118182677099,5.24333305821528,6.37161184723186,6.35610766069589,117,13689,"09"
2009-10-01,396,215100,4.952,12193.2,10,583,7.4,189.7,534,554,5.98141421125448,12.2788583152558,9.40863369827984,6.36818718635049,5.24544387694097,6.2803958389602,6.31716468674728,118,13924,"10"
2009-11-01,375,218800,4.875,12224.4,9.9,623,7.6,189.2,588,532,5.92692602597041,12.29591334953,9.41118923338402,6.43454651878745,5.24280465661778,6.37672694789863,6.27664348934164,119,14161,"11"
2009-12-01,352,222600,4.93,12280.2,9.9,664,8,189.4,581,517,5.8636311755981,12.3131317178236,9.41574348821346,6.49828214947643,5.24386118075198,6.36475075685191,6.24804287450843,120,14400,"12"
2010-01-01,345,218200,5.03,12285.8,9.8,636,8.1,190.3,614,501,5.84354441703136,12.2931673523811,9.41619940290018,6.45519856334012,5.2486017743021,6.41999492814714,6.21660610108486,121,14641,"01"
2010-02-01,336,221900,4.99,12292,9.8,650,8.3,192.2,604,493,5.8171111599632,12.3099821089207,9.41670392325038,6.47697236288968,5.25853649653619,6.40357419793482,6.20050917404269,122,14884,"02"
2010-03-01,381,224800,4.9675,12340.3,9.9,687,7.1,193.7,636,492,5.9427993751267,12.3229663970017,9.42062560834701,6.53233429222235,5.26631057041295,6.45519856334012,6.19847871649231,123,15129,"03"
2010-04-01,422,208300,5.098,12447.1,9.9,637,6.2,196.5,687,488,6.04500531403601,12.2467346272491,9.42924294303314,6.45676965557216,5.28066243130932,6.53233429222235,6.19031540585315,124,15376,"04"
2010-05-01,280,230500,4.8875,12540.3,9.6,575,9.3,198.9,583,476,5.63478960316925,12.3480061414188,9.43670273734573,6.35437004079735,5.29280218585993,6.36818718635049,6.16541785423142,125,15625,"05"
2010-06-01,305,219500,4.7375,12544.3,9.4,587,8.3,197.2,536,447,5.72031177660741,12.2991075114974,9.43702165812054,6.3750248198281,5.28421844216853,6.2841341610708,6.10255859461357,126,15876,"06"
2010-07-01,283,212100,4.564,12554.2,9.4,579,8.9,195.6,546,443,5.64544689764324,12.2648131405528,9.43781054992789,6.361302477573,5.27607175760072,6.3026189757449,6.09356977004514,127,16129,"07"
2010-08-01,282,226600,4.4275,12591.4,9.5,580,8.8,194.1,599,444,5.64190707093811,12.330941627576,9.44076932022078,6.36302810354046,5.26837349017496,6.39526159811545,6.09582456243222,128,16384,"08"
2010-09-01,317,228000,4.346,12589.9,9.5,563,7.6,193.9,594,439,5.75890177387728,12.3371009079366,9.44065018419509,6.33327962813969,5.26734256224861,6.38687931936265,6.08449941307517,129,16641,"09"
2010-10-01,291,204200,4.225,12592.5,9.4,558,8.2,193.8,543,436,5.67332326717149,12.2268551847127,9.44085667761981,6.32435896238131,5.26682669945667,6.29710931993394,6.07764224334903,130,16900,"10"
2010-11-01,287,219600,4.3,12605.1,9.8,560,8.2,193.6,545,431,5.65948221575962,12.2995629886175,9.44185677295033,6.3279367837292,5.26579417484248,6.30078579466324,6.06610809010375,131,17161,"11"
2010-12-01,326,241200,4.714,12680.6,9.3,632,7,194.2,539,427,5.78689738136671,12.3933817438352,9.44782854548371,6.44888939414686,5.26888855585722,6.289715570909,6.05678401322862,132,17424,"12"
2011-01-01,307,240100,4.755,12740.1,9.1,576,7.3,195.9,630,431,5.7268477475872,12.3888107822093,9.45250977838891,6.35610766069589,5.2776043249505,6.44571981938558,6.06610809010375,133,17689,"01"
2011-02-01,270,220100,4.9525,12776.6,9,542,8.1,198.1,517,424,5.59842195899838,12.3018372675146,9.45537065184785,6.29526600143965,5.2887719537045,6.24804287450843,6.04973345523196,134,17956,"02"
2011-03-01,300,220500,4.836,12742.7,9,583,7.2,199.7,600,420,5.7037824746562,12.303652973869,9.45271383759818,6.36818718635049,5.29681624042177,6.39692965521615,6.04025471127741,135,18225,"03"
2011-04-01,310,224700,4.84,12721.3,9.1,581,6.7,201.1,554,417,5.73657229747919,12.3225214581734,9.45103303292978,6.36475075685191,5.30380229677861,6.31716468674728,6.0330862217988,136,18496,"04"
2011-05-01,305,222000,4.6375,12705.3,9,618,6.6,201.6,561,415,5.72031177660741,12.3104326608544,9.44977450822637,6.42648845745769,5.30628553619721,6.3297209055227,6.0282785202307,137,18769,"05"
2011-06-01,301,240200,4.51,12756.9,9.1,636,6.6,201.9,608,416,5.70711026474888,12.389227188628,9.45382758067398,6.45519856334012,5.30777252531879,6.41017488196617,6.03068526026126,138,19044,"06"
2011-07-01,296,229900,4.545,12805.6,9,621,6.7,202.6,623,417,5.69035945432406,12.3453997107513,9.45763785423249,6.43133108193348,5.31123359181458,6.43454651878745,6.0330862217988,139,19321,"07"
2011-08-01,299,219600,4.27,12799.7,9,647,6.5,202.8,585,414,5.70044357339069,12.2995629886175,9.45717701213305,6.4723462945009,5.31222027171703,6.37161184723186,6.02586597382531,140,19600,"08"
