"industry","CAR_3day","RateVulnerability_z","MktBeta_z","SMBBeta_z","HMLBeta_z","RMWBeta_z","CMABeta_z","HistVol_z","PreMomentum_z","Z_precovid_2Y_z","Z_early_nonoverlap_2Y_z","Z_verylong_2Y_z","Z_termspread_z"
"Ships",-1.68,-0.372323961330114,0.320308781250661,1.11452506191457,0.636770090220136,0.382070219817746,0.252595394135301,-0.412014541107523,0.93031090674018,-0.53721191410702,-1.69171982457316,-1.14204888842822,-0.603580693266548
"Smoke",-3.53,0.429749621680595,-1.72590941520997,-0.380199980940123,0.312871588339132,0.591475803274403,0.638311451358166,-0.818450943263163,0.354939087858176,1.35158081211336,1.6459066619248,1.57404934220032,0.461458880219586
"Soda",-1.96,-0.1152180441423,-1.1316530859837,-0.809533426308718,-0.557248033760167,1.04304358269527,0.520535463986013,-1.06352029252298,0.0651760238363722,0.963043036780205,1.53462650537436,1.26961725363517,-0.260589484008471
"Softw",-8.49,-0.6536027832761,0.470846217113629,-1.5707000073053,-1.47513448905529,-0.312735929400294,-0.712324237302133,0.437330115327412,-1.40025653291906,-0.442299762802566,0.251293485216397,-0.323752148180615,-0.374086893439417
"Steel",-3.49,0.319629288864134,1.78096784739526,0.0979735373316713,1.73353444076893,-0.266261695090606,0.0150193775649994,1.13203010804303,0.205383958040471,-0.705466330792689,-0.64683449998812,-1.0994008165871,0.346158784324348
"Telcm",-3.59,0.513567308239231,-1.02244114854977,0.0226016044136254,0.105705235123423,0.0549882094831975,-0.184655695625561,-0.960568468275921,-0.444765425750386,0.826570551633866,0.53184475447155,0.484128164797855,0.162714666268731
"Toys",-4.82,-0.895449837999189,0.125167356816915,0.820841186149947,-0.583693981554592,-1.2792696458666,-2.12412485919169,1.60202627671758,-1.94550961037944,-0.764995776723784,-0.173857672304712,-0.477523982853401,1.14063218727968
"Trans",-1.89,-0.76765060851075,0.349936038727533,0.318432132745408,0.382126501773237,0.339986873723612,-0.578449400683521,-0.310234702035774,-0.843579105264266,-0.626096948593206,-0.630360468252661,-0.825177796233449,-0.622140395730373
"Txtls",-4.08,0.0613655724328756,0.921015051256446,2.92364863362582,0.158284100633817,1.48452189945889,-0.223759049731346,0.833900126322391,-1.38467787356305,-0.612821360647229,1.94038758533976,0.547238668260584,1.76723755734809
"Util",-0.35,1.2894910293123,-1.34159123915765,-0.943732753284755,-0.31158883037554,0.225530483741697,1.06405669269506,-1.22193503434785,-0.454112621363992,1.67516096281634,0.719977829270408,1.99890767107744,0.155827744269122
"Whlsl",-1.79,-0.297878146497582,0.0457154957269383,0.54389323838052,-0.271856626925658,0.916107908887779,0.290727878454286,-0.81298338903081,0.45983539418865,-0.281142204543855,-0.591635879078436,-0.33625215856145,-0.38131772664955
